State,Month,Deaths
Alabama,01/2015,482.0
Alabama,02/2015,447.0
Alabama,03/2015,448.0
Alabama,04/2015,397.0
Alabama,05/2015,358.0
Alabama,06/2015,305.0
Alabama,07/2015,303.0
Alabama,08/2015,312.0
Alabama,09/2015,273.0
Alabama,10/2015,312.0
Alabama,11/2015,345.0
Alabama,12/2015,394.0
Alaska,01/2015,19.0
Alaska,02/2015,18.0
Alaska,03/2015,22.0
Alaska,04/2015,14.0
Alaska,05/2015,30.0
Alaska,06/2015,28.0
Alaska,07/2015,16.0
Alaska,08/2015,28.0
Alaska,09/2015,18.0
Alaska,10/2015,16.0
Alaska,11/2015,11.0
Alaska,12/2015,25.0
Arkansas,01/2015,338.0
Arkansas,02/2015,302.0
Arkansas,03/2015,275.0
Arkansas,04/2015,256.0
Arkansas,05/2015,256.0
Arkansas,06/2015,229.0
Arkansas,07/2015,219.0
Arkansas,08/2015,183.0
Arkansas,09/2015,220.0
Arkansas,10/2015,245.0
Arkansas,11/2015,206.0
Arkansas,12/2015,241.0
Arizona,01/2015,492.0
Arizona,02/2015,405.0
Arizona,03/2015,441.0
Arizona,04/2015,411.0
Arizona,05/2015,410.0
Arizona,06/2015,348.0
Arizona,07/2015,295.0
Arizona,08/2015,265.0
Arizona,09/2015,298.0
Arizona,10/2015,327.0
Arizona,11/2015,331.0
Arizona,12/2015,433.0
California,01/2015,2459.0
California,02/2015,2102.0
California,03/2015,1933.0
California,04/2015,1723.0
California,05/2015,1586.0
California,06/2015,1490.0
California,07/2015,1328.0
California,08/2015,1277.0
California,09/2015,1308.0
California,10/2015,1369.0
California,11/2015,1432.0
California,12/2015,1802.0
Kansas,01/2015,300.0
Kansas,02/2015,254.0
Kansas,03/2015,234.0
Kansas,04/2015,216.0
Kansas,05/2015,175.0
Kansas,06/2015,178.0
Kansas,07/2015,164.0
Kansas,08/2015,171.0
Kansas,09/2015,157.0
Kansas,10/2015,178.0
Kansas,11/2015,165.0
Kansas,12/2015,194.0
North Carolina,01/2015,1021.0
North Carolina,02/2015,700.0
North Carolina,03/2015,737.0
North Carolina,04/2015,609.0
North Carolina,05/2015,545.0
North Carolina,06/2015,468.0
North Carolina,07/2015,565.0
North Carolina,08/2015,473.0
North Carolina,09/2015,514.0
North Carolina,10/2015,522.0
North Carolina,11/2015,546.0
North Carolina,12/2015,636.0
South Carolina,01/2015,479.0
South Carolina,02/2015,361.0
South Carolina,03/2015,355.0
South Carolina,04/2015,322.0
South Carolina,05/2015,334.0
South Carolina,06/2015,258.0
South Carolina,07/2015,248.0
South Carolina,08/2015,247.0
South Carolina,09/2015,240.0
South Carolina,10/2015,306.0
South Carolina,11/2015,273.0
South Carolina,12/2015,333.0
Colorado,01/2015,412.0
Colorado,02/2015,276.0
Colorado,03/2015,294.0
Colorado,04/2015,310.0
Colorado,05/2015,274.0
Colorado,06/2015,253.0
Colorado,07/2015,198.0
Colorado,08/2015,235.0
Colorado,09/2015,220.0
Colorado,10/2015,229.0
Colorado,11/2015,256.0
Colorado,12/2015,279.0
Connecticut,01/2015,227.0
Connecticut,02/2015,222.0
Connecticut,03/2015,232.0
Connecticut,04/2015,200.0
Connecticut,05/2015,155.0
Connecticut,06/2015,152.0
Connecticut,07/2015,166.0
Connecticut,08/2015,128.0
Connecticut,09/2015,131.0
Connecticut,10/2015,131.0
Connecticut,11/2015,152.0
Connecticut,12/2015,140.0
North Dakota,01/2015,73.0
North Dakota,02/2015,46.0
North Dakota,03/2015,47.0
North Dakota,04/2015,61.0
North Dakota,05/2015,35.0
North Dakota,06/2015,38.0
North Dakota,07/2015,44.0
North Dakota,08/2015,30.0
