Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/01/2016;01/01/2016;Pneumonia, unspecified;J18.9;80;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2016;01/01/2016;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;34;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2016;01/01/2016;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;15;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2016;01/01/2016;Chronic obstructive pulmonary disease, unspecified;J44.9;246;Not Applicable;Not Applicable
Total;Alabama;1;01/01/2016;01/01/2016;;;401;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2016;01/02/2016;Pneumonia, unspecified;J18.9;83;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2016;01/02/2016;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;28;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2016;01/02/2016;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;13;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2016;01/02/2016;Chronic obstructive pulmonary disease, unspecified;J44.9;249;Not Applicable;Not Applicable
Total;Alabama;1;01/02/2016;01/02/2016;;;402;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2016;01/03/2016;Pneumonia, unspecified;J18.9;84;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2016;01/03/2016;Emphysema, unspecified;J43.9;14;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2016;01/03/2016;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;26;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2016;01/03/2016;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2016;01/03/2016;Chronic obstructive pulmonary disease, unspecified;J44.9;254;Not Applicable;Not Applicable
