Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/01/2018;01/01/2018;Influenza with pneumonia, influenza virus identified;J10.0;21;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Influenza with other respiratory manifestations, influenza virus identified;J10.1;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Influenza with pneumonia, virus not identified;J11.0;29;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Influenza with other respiratory manifestations, virus not identified;J11.1;38;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Bacterial pneumonia, unspecified;J15.9;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Pneumonia, unspecified;J18.9;146;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;42;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2018;01/01/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;354;Not Applicable;Not Applicable
Total;Alabama;1;01/01/2018;01/01/2018;;;719;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Influenza with pneumonia, influenza virus identified;J10.0;16;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Influenza with other respiratory manifestations, influenza virus identified;J10.1;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Influenza with pneumonia, virus not identified;J11.0;17;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Pneumonia due to Streptococcus pneumoniae;J13;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Pneumonia, unspecified;J18.9;104;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;19;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2018;01/02/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;229;Not Applicable;Not Applicable
Total;Alabama;1;01/02/2018;01/02/2018;;;458;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2018;01/03/2018;Pneumonia, unspecified;J18.9;78;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2018;01/03/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;33;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2018;01/03/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;251;Not Applicable;Not Applicable
Total;Alabama;1;01/03/2018;01/03/2018;;;406;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2018;01/04/2018;Pneumonia, unspecified;J18.9;66;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2018;01/04/2018;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2018;01/04/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;26;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2018;01/04/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;275;Not Applicable;Not Applicable
Total;Alabama;1;01/04/2018;01/04/2018;;;406;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2018;01/05/2018;Pneumonia, unspecified;J18.9;62;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2018;01/05/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;26;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2018;01/05/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;279;Not Applicable;Not Applicable
Total;Alabama;1;01/05/2018;01/05/2018;;;407;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2018;01/06/2018;Pneumonia, unspecified;J18.9;52;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2018;01/06/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;21;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2018;01/06/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;230;Not Applicable;Not Applicable
Total;Alabama;1;01/06/2018;01/06/2018;;;332;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2018;01/07/2018;Pneumonia, unspecified;J18.9;75;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2018;01/07/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;16;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2018;01/07/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;210;Not Applicable;Not Applicable
Total;Alabama;1;01/07/2018;01/07/2018;;;328;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2018;01/08/2018;Pneumonia, unspecified;J18.9;58;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2018;01/08/2018;Emphysema, unspecified;J43.9;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2018;01/08/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2018;01/08/2018;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2018;01/08/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;238;Not Applicable;Not Applicable
Total;Alabama;1;01/08/2018;01/08/2018;;;353;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2018;01/09/2018;Pneumonia, unspecified;J18.9;57;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2018;01/09/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2018;01/09/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;200;Not Applicable;Not Applicable
Total;Alabama;1;01/09/2018;01/09/2018;;;316;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2018;01/10/2018;Pneumonia, unspecified;J18.9;61;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2018;01/10/2018;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2018;01/10/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2018;01/10/2018;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;14;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2018;01/10/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;213;Not Applicable;Not Applicable
Total;Alabama;1;01/10/2018;01/10/2018;;;345;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2018;01/11/2018;Pneumonia, unspecified;J18.9;52;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2018;01/11/2018;Emphysema, unspecified;J43.9;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2018;01/11/2018;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;25;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2018;01/11/2018;Chronic obstructive pulmonary disease, unspecified;J44.9;206;Not Applicable;Not Applicable
