Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/01/2014;01/01/2014;Pneumonia, unspecified;J18.9;119;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2014;01/01/2014;Emphysema, unspecified;J43.9;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2014;01/01/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;43;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2014;01/01/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;248;Not Applicable;Not Applicable
Total;Alabama;1;01/01/2014;01/01/2014;;;485;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2014;01/02/2014;Pneumonia, unspecified;J18.9;92;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2014;01/02/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;32;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2014;01/02/2014;Other specified chronic obstructive pulmonary disease;J44.8;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2014;01/02/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;208;Not Applicable;Not Applicable
Total;Alabama;1;01/02/2014;01/02/2014;;;373;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2014;01/03/2014;Pneumonia, unspecified;J18.9;65;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2014;01/03/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;23;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2014;01/03/2014;Other specified chronic obstructive pulmonary disease;J44.8;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2014;01/03/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;191;Not Applicable;Not Applicable
Total;Alabama;1;01/03/2014;01/03/2014;;;316;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2014;01/04/2014;Pneumonia, unspecified;J18.9;63;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2014;01/04/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;20;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2014;01/04/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;190;Not Applicable;Not Applicable
Total;Alabama;1;01/04/2014;01/04/2014;;;297;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2014;01/05/2014;Pneumonia, unspecified;J18.9;57;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2014;01/05/2014;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2014;01/05/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;24;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2014;01/05/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;212;Not Applicable;Not Applicable
Total;Alabama;1;01/05/2014;01/05/2014;;;325;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2014;01/06/2014;Pneumonia, unspecified;J18.9;61;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2014;01/06/2014;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2014;01/06/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2014;01/06/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;199;Not Applicable;Not Applicable
Total;Alabama;1;01/06/2014;01/06/2014;;;317;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2014;01/07/2014;Pneumonia, unspecified;J18.9;57;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2014;01/07/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;23;Not Applicable;Not Applicable
aaa;Alabama;1;01/07/2014;01/07/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;179;Not Applicable;Not Applicable
Total;Alabama;1;01/07/2014;01/07/2014;;;290;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2014;01/08/2014;Pneumonia, unspecified;J18.9;60;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2014;01/08/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;19;Not Applicable;Not Applicable
aaa;Alabama;1;01/08/2014;01/08/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;200;Not Applicable;Not Applicable
Total;Alabama;1;01/08/2014;01/08/2014;;;302;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Pneumonia, unspecified;J18.9;59;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Emphysema, unspecified;J43.9;10;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;14;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Other specified chronic obstructive pulmonary disease;J44.8;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/09/2014;01/09/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;190;Not Applicable;Not Applicable
Total;Alabama;1;01/09/2014;01/09/2014;;;306;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2014;01/10/2014;Pneumonia, unspecified;J18.9;63;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2014;01/10/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;18;Not Applicable;Not Applicable
aaa;Alabama;1;01/10/2014;01/10/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;168;Not Applicable;Not Applicable
Total;Alabama;1;01/10/2014;01/10/2014;;;273;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2014;01/11/2014;Pneumonia, unspecified;J18.9;75;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2014;01/11/2014;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;22;Not Applicable;Not Applicable
aaa;Alabama;1;01/11/2014;01/11/2014;Chronic obstructive pulmonary disease, unspecified;J44.9;227;Not Applicable;Not Applicable
Total;Alabama;1;01/11/2014;01/11/2014;;;356;Not Applicable;Not Applicable
