Notes;State;State Code;Month;Month Code;Cause of death;Cause of death Code;Deaths;Population;Crude Rate
aaa;Alabama;1;01/01/2015;01/01/2015;Influenza with pneumonia, virus not identified;J11.0;14;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2015;01/01/2015;Pneumonia, unspecified;J18.9;118;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2015;01/01/2015;Emphysema, unspecified;J43.9;13;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;40;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;J44.1;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/01/2015;01/01/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;248;Not Applicable;Not Applicable
Total;Alabama;1;01/01/2015;01/01/2015;;;482;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2015;01/02/2015;Pneumonia, unspecified;J18.9;104;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2015;01/02/2015;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;36;Not Applicable;Not Applicable
aaa;Alabama;1;01/02/2015;01/02/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;249;Not Applicable;Not Applicable
Total;Alabama;1;01/02/2015;01/02/2015;;;447;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2015;01/03/2015;Pneumonia, unspecified;J18.9;87;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2015;01/03/2015;Emphysema, unspecified;J43.9;12;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;38;Not Applicable;Not Applicable
aaa;Alabama;1;01/03/2015;01/03/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;275;Not Applicable;Not Applicable
Total;Alabama;1;01/03/2015;01/03/2015;;;448;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2015;01/04/2015;Pneumonia, unspecified;J18.9;93;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;30;Not Applicable;Not Applicable
aaa;Alabama;1;01/04/2015;01/04/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;231;Not Applicable;Not Applicable
Total;Alabama;1;01/04/2015;01/04/2015;;;397;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2015;01/05/2015;Pneumonia, unspecified;J18.9;74;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease with acute lower respiratory infection;J44.0;25;Not Applicable;Not Applicable
aaa;Alabama;1;01/05/2015;01/05/2015;Chronic obstructive pulmonary disease, unspecified;J44.9;229;Not Applicable;Not Applicable
Total;Alabama;1;01/05/2015;01/05/2015;;;358;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2015;01/06/2015;Pneumonia, unspecified;J18.9;52;Not Applicable;Not Applicable
aaa;Alabama;1;01/06/2015;01/06/2015;Emphysema, unspecified;J43.9;11;Not Applicable;Not Applicable
